date,day,month,year,week,quarter,month_name,year_month
2022-05-22,22,5,2022,20,2,May,2022-05
2022-05-23,23,5,2022,21,2,May,2022-05
2022-05-24,24,5,2022,21,2,May,2022-05
2022-05-25,25,5,2022,21,2,May,2022-05
2022-05-26,26,5,2022,21,2,May,2022-05
2022-05-27,27,5,2022,21,2,May,2022-05
2022-05-28,28,5,2022,21,2,May,2022-05
2022-05-29,29,5,2022,21,2,May,2022-05
2022-05-30,30,5,2022,22,2,May,2022-05
2022-05-31,31,5,2022,22,2,May,2022-05
2022-06-01,1,6,2022,22,2,June,2022-06
2022-06-02,2,6,2022,22,2,June,2022-06
2022-06-03,3,6,2022,22,2,June,2022-06
2022-06-04,4,6,2022,22,2,June,2022-06
2022-06-05,5,6,2022,22,2,June,2022-06
2022-06-06,6,6,2022,23,2,June,2022-06
2022-06-07,7,6,2022,23,2,June,2022-06
2022-06-08,8,6,2022,23,2,June,2022-06
2022-06-09,9,6,2022,23,2,June,2022-06
2022-06-10,10,6,2022,23,2,June,2022-06
2022-06-11,11,6,2022,23,2,June,2022-06
2022-06-12,12,6,2022,23,2,June,2022-06
2022-06-13,13,6,2022,24,2,June,2022-06
2022-06-14,14,6,2022,24,2,June,2022-06
2022-06-15,15,6,2022,24,2,June,2022-06
2022-06-16,16,6,2022,24,2,June,2022-06
2022-06-17,17,6,2022,24,2,June,2022-06
2022-06-18,18,6,2022,24,2,June,2022-06
2022-06-19,19,6,2022,24,2,June,2022-06
2022-06-20,20,6,2022,25,2,June,2022-06
2022-06-21,21,6,2022,25,2,June,2022-06
2022-06-22,22,6,2022,25,2,June,2022-06
2022-06-23,23,6,2022,25,2,June,2022-06
2022-06-24,24,6,2022,25,2,June,2022-06
2022-06-25,25,6,2022,25,2,June,2022-06
2022-06-26,26,6,2022,25,2,June,2022-06
2022-06-27,27,6,2022,26,2,June,2022-06
2022-06-28,28,6,2022,26,2,June,2022-06
2022-06-29,29,6,2022,26,2,June,2022-06
2022-06-30,30,6,2022,26,2,June,2022-06
2022-07-01,1,7,2022,26,3,July,2022-07
2022-07-02,2,7,2022,26,3,July,2022-07
2022-07-03,3,7,2022,26,3,July,2022-07
2022-07-04,4,7,2022,27,3,July,2022-07
2022-07-05,5,7,2022,27,3,July,2022-07
2022-07-06,6,7,2022,27,3,July,2022-07
2022-07-07,7,7,2022,27,3,July,2022-07
2022-07-08,8,7,2022,27,3,July,2022-07
